Category,Product,Price,URL
Smartphones,"vivo Y29 5G (6GB RAM, 128GB, Diamond Black)","₹15,499",https://www.croma.com/vivo-y29-5g-6gb-ram-128gb-diamond-black-/p/312580
Smartphones,"noise ColorFit Victor Smartwatch with Bluetooth Calling (46.9mm TFT LCD Display, IP68 Water Resistant, Jet Black Strap)",₹999,https://www.croma.com/noise-colorfit-victor-smartwatch-with-bluetooth-calling-46-9mm-tft-lcd-display-ip68-water-resistant-jet-black-strap-/p/263807
Smartphones,"vivo Y29 5G (4GB RAM, 128GB, Glacier Blue)","₹13,999",https://www.croma.com/vivo-y29-5g-4gb-ram-128gb-glacier-blue-/p/312574
Smartphones,"vivo Y29 5G (4GB RAM, 128GB, Diamond Black)","₹13,999",https://www.croma.com/vivo-y29-5g-4gb-ram-128gb-diamond-black-/p/312575
Smartphones,"vivo Y29 5G (6GB RAM, 128GB, Glacier Blue)","₹15,499",https://www.croma.com/vivo-y29-5g-6gb-ram-128gb-glacier-blue-/p/312576
Smartphones,"Apple iPhone 15 (256GB, Blue)","₹73,590",https://www.croma.com/apple-iphone-15-256gb-blue-/p/300738
Smartphones,"Apple iPhone 15 (256GB, Black)","₹73,590",https://www.croma.com/apple-iphone-15-256gb-black-/p/300700
Smartphones,"noise Twist Go Smartwatch with Bluetooth Calling (35mm TFT Display, IP67 Water Resistant, Jet Black Strap)","₹1,399",https://www.croma.com/noise-twist-go-smartwatch-with-bluetooth-calling-35mm-tft-display-ip67-water-resistant-jet-black-strap-/p/305114
Smartphones,"Apple iPhone 13 (128GB, Starlight White)","₹45,790",https://www.croma.com/apple-iphone-13-128gb-starlight-white-/p/243460
Smartphones,"Apple iPhone 13 (128GB, Midnight)","₹45,790",https://www.croma.com/apple-iphone-13-128gb-midnight-/p/243459
Smartphones,"Google Pixel 8a 5G (8GB RAM, 128GB, Bay)","₹37,999",https://www.croma.com/google-pixel-8a-5g-8gb-ram-128gb-bay-/p/309154
Smartphones,"FIRE-BOLTT Dream GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (51.3mm HD Display, Cortex A7MP CPU, Google Play Store, Cocoa Couture Strap)","₹5,081",https://www.croma.com/fire-boltt-dream-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-51-3mm-hd-display-cortex-a7mp-cpu-google-play-store-cocoa-couture-strap-/p/303700
Smartphones,"boAt Lunar Vista Smartwatch with Bluetooth Calling (38.60mm HD Display, IP67 Splash Resistant, Active Black Strap)","₹1,599",https://www.croma.com/boat-lunar-vista-smartwatch-with-bluetooth-calling-38-60mm-hd-display-ip67-splash-resistant-active-black-strap-/p/306976
